symbol,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas
PSEN1,-0.7674572531715389,1,0.0498809631145068
APP,-0.7845559845559845,,0.0
PSEN2,-0.2050744622173194,,0.0
APOE,0.531053502482074,,0.017251532679053
GRIN1,-0.60419194704909,,0.0
SORL1,-0.6372862658576944,,0.0476803620843015
CDK5,-0.5891891891891892,1,0.0897798679319798
ADAM10,-0.9054605626034198,0,0.020403122422004
GRIN3B,0.8228350799779371,,0.0
ACHE,-0.6356315499172642,0,0.0
ACE,-0.1537782680639823,,0.0
BCHE,0.3825703254274684,,0.0
APH1B,0.5385548814120242,,0.0
GRIN2B,-0.9940430226144512,0,0.0327938938432379
CDK5R1,-0.9352454495311638,,0.0
HFE,0.1274131274131273,,0.0
GRIN2A,-0.9111969111969112,1,0.0193796154633794
CDC25B,-0.5169332597904026,0,0.0
GRIN2D,-0.5156094870380585,,0.0
CR1,-0.3288472145615002,,0.0
EPHA1,0.0353006067291781,,0.0
GRIN3A,-0.506784335355764,,0.0
GRIN2C,0.3366795366795367,,0.034241163161137
GRN,-0.5810259238830667,0,0.0
HMGCR,-0.7436293436293436,1,0.0093647193975708
ABCA7,0.5769442912300056,,0.0
CD33,0.188527302813017,,0.0
FOXO3,-0.9167126309983452,,0.0
TREM2,0.4027578599007171,,0.0
NDUFAB1,-0.5523441809156096,,0.0701512135720814
CDKN2B,0.8688361831218974,,0.0
BIN1,-0.2583563154991726,,0.0
GSK3B,-0.6749034749034749,1,0.0168778653229125
CDKN1A,0.6798676227247655,,0.0
PSAP,-0.6805295091009377,,0.0
PLCG2,-0.7297297297297297,,0.0
CLU,-0.4158852730281301,,0.02558786498941
PLK1,-0.9533370104798676,1,0.0
CDK4,-0.5547710976282405,1,0.0
SMPD1,0.1622724765581908,,0.0
NCK2,-0.3945945945945945,,0.0
MS4A6A,0.5428571428571429,,0.0
AXL,-0.5385548814120242,,0.0
NDUFS5,0.2191947049089906,,0.0497634404440911
AURKB,-0.0199669056811914,1,0.0
NDUFA8,0.2445670159955875,,0.0587085089390639
NDUFV2,-0.5637065637065637,,0.0
SCARB1,-0.4216216216216216,0,0.0
LSM6,0.0,,0.0
CDKN2A,-0.2999448428019856,,0.0
CDKN1C,0.972972972972973,,0.0
CDK1,-0.6135686707115279,1,0.0
RIOK2,0.0711527854384996,,0.0
NDUFS1,-0.2271373414230557,,0.0316856430318785
MTMR3,-0.8843905129619415,,0.0
FADS2,-0.7777164920022063,,0.0
DDX39B,-0.9450634307777164,,0.0304204648625673
ATP6V1B2,-0.7335907335907336,,0.0940238813686302
UQCRC1,-0.3457253171538885,,0.043122851094602
ATP6V1A,-0.8045228902371759,,0.0233171734819987
AURKA,-0.6572531715388858,1,0.0
CD2AP,-0.2617760617760618,,0.0
MPO,0.0410369553226697,,0.0
NDUFS2,-0.4487589630446773,0,0.0
PIKFYVE,-0.6621070049641478,1,0.0275751012394466
CAMLG,0.4239382239382239,,0.0
NDUFA9,-0.3141753998896855,,0.0
NR1H2,-0.1161610590182018,1,0.0
CSNK1A1,-0.8535024820739107,,0.0545414122164036
PICALM,-0.508108108108108,,0.0
AKAP11,-0.8720353006067292,,0.0
MASTL,-0.30711527854385,,0.0
TARS2,-0.3520132377275234,,0.0
ATP6V1C1,0.3353557639271924,,0.0411192292905212
CDK12,-0.950468836183122,1,0.0
KAT8,-0.2015444015444015,,0.0
INPP5D,-0.8156646442360728,,0.0
PI4KB,-0.7713182570325428,,0.0
CASS4,-0.6551571980143409,,0.0
