diana_objetivo,id_farmaco,nombre,ic50_nm,pchembl,anio,smiles,nivel_potencia
ACHE,CHEMBL133897,Sin nombre,750.0,6.12,2004,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,Media
ACHE,CHEMBL336398,Sin nombre,100.0,7.0,2004,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,Muy Alta
ACHE,CHEMBL130628,Sin nombre,300.0,6.52,2004,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,Media
ACHE,CHEMBL130478,Sin nombre,800.0,6.1,2004,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,Media
ACHE,CHEMBL130112,Sin nombre,2400.0,5.62,2004,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,Media
ACHE,CHEMBL130098,Sin nombre,100.0,7.0,2004,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,Muy Alta
ACHE,CHEMBL336538,Sin nombre,800.0,6.1,2004,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,Media
ACHE,CHEMBL335033,Sin nombre,50.0,7.3,2004,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,Muy Alta
ACHE,CHEMBL338720,Sin nombre,560.0,6.25,2004,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,Media
ACHE,CHEMBL131536,Sin nombre,1400.0,5.85,2004,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,Media
ACHE,CHEMBL106126,Sin nombre,17000.0,4.77,2004,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,Baja
ACHE,CHEMBL334971,Sin nombre,1100.0,5.96,2004,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,Media
ACHE,CHEMBL130666,Sin nombre,26.0,7.58,2004,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,Muy Alta
ACHE,CHEMBL133388,Sin nombre,800.0,6.1,2004,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,Media
ACHE,CHEMBL336524,Sin nombre,56.0,7.25,2004,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,Muy Alta
ACHE,CHEMBL336276,Sin nombre,200.0,6.7,2004,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,Media
ACHE,CHEMBL334395,Sin nombre,300.0,6.52,2004,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,Media
ACHE,CHEMBL131320,Sin nombre,200.0,6.7,2004,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,Media
ACHE,CHEMBL337714,Sin nombre,500.0,6.3,2004,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,Media
ACHE,CHEMBL54126,NEOSTIGMINE BROMIDE,22.0,7.66,1993,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],Muy Alta
ACHE,CHEMBL65667,Sin nombre,3800.0,5.42,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,Media
ACHE,CHEMBL431519,Sin nombre,40.0,7.4,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Muy Alta
ACHE,CHEMBL154972,Sin nombre,73.0,7.14,1993,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,Muy Alta
ACHE,CHEMBL152722,Sin nombre,3100.0,5.51,1993,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,Media
ACHE,CHEMBL349127,Sin nombre,4500.0,5.35,1993,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,Media
ACHE,CHEMBL156659,Sin nombre,1200.0,5.92,1993,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,Media
ACHE,CHEMBL155322,Sin nombre,540.0,6.27,1993,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,Media
ACHE,CHEMBL154211,Sin nombre,30.0,7.52,1993,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,Muy Alta
ACHE,CHEMBL1203537,Sin nombre,830.0,6.08,1993,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,Media
ACHE,CHEMBL345849,Sin nombre,390.0,6.41,1993,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,Media
ACHE,CHEMBL154689,Sin nombre,390.0,6.41,1993,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,Media
