id_farmaco,nombre,ic50_nm,pchembl,año,smiles,descripcion_ensayo,nivel_potencia
CHEMBL2114210,Sin nombre comercial,110000.0,,1998,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Baja
CHEMBL2114210,Sin nombre comercial,110000.0,,1998,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Baja
CHEMBL87169,Sin nombre comercial,700.0,6.16,1998,OCC1NC(CO)[C@@H](O)C(O)C1O,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Media
CHEMBL2115215,Sin nombre comercial,3200.0,5.5,1998,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Media
CHEMBL501355,Sin nombre comercial,40.0,7.4,1998,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Muy Alta
CHEMBL2093897,Sin nombre comercial,8400.0,5.08,1998,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Media
CHEMBL2442258,Sin nombre comercial,60.0,7.22,1998,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Muy Alta
CHEMBL3084806,Sin nombre comercial,4200.0,5.38,1998,CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,Media
CHEMBL77918,Sin nombre comercial,50000.0,,1995,CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,Inhibition of Glycosidases (maltase) in rat intestinal brush border membranes by D-glucose oxidase-peroxidase method maltase,Baja
CHEMBL307429,DUVOGLUSTAT,360.0,6.44,1995,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,Inhibition of Glycosidases (maltase) in rat intestinal brush border membranes by D-glucose oxidase-peroxidase method,Media
