action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,306817,[],CHEMBL649260,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131015,J Med Chem,1998,,CHEMBL2114210,,CHEMBL2114210,,0,http://www.openphacts.org/units/Nanomolar,155749,=,1,1,=,,IC50,nM,,110000.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,110.0
,,306817,[],CHEMBL649260,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131015,J Med Chem,1998,,CHEMBL2114210,,CHEMBL2114210,,0,http://www.openphacts.org/units/Nanomolar,155749,=,1,1,=,,IC50,nM,,110000.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,110.0
,,314789,[],CHEMBL649260,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,OCC1NC(CO)[C@@H](O)C(O)C1O,,,CHEMBL1131015,J Med Chem,1998,"{'bei': '31.86', 'le': '0.65', 'lle': '9.76', 'sei': '5.44'}",CHEMBL87169,,CHEMBL87169,6.16,0,http://www.openphacts.org/units/Nanomolar,155748,=,1,1,=,,IC50,nM,,700.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,0.7
,,314800,[],CHEMBL649260,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,,,CHEMBL1131015,J Med Chem,1998,"{'bei': '28.44', 'le': '0.58', 'lle': '9.10', 'sei': '4.85'}",CHEMBL2115215,,CHEMBL2115215,5.50,0,http://www.openphacts.org/units/Nanomolar,155741,=,1,1,=,,IC50,nM,,3200.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,3.2
,,333819,[],CHEMBL649260,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,,CHEMBL1131015,J Med Chem,1998,"{'bei': '38.29', 'le': '0.78', 'lle': '11.01', 'sei': '6.54'}",CHEMBL501355,,CHEMBL501355,7.40,0,http://www.openphacts.org/units/Nanomolar,155739,=,1,1,=,,IC50,nM,,40.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,0.04
,,333831,[],CHEMBL816395,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,,CHEMBL1131015,J Med Chem,1998,"{'bei': '26.27', 'le': '0.53', 'lle': '8.69', 'sei': '4.48'}",CHEMBL2093897,,CHEMBL2093897,5.08,0,http://www.openphacts.org/units/Nanomolar,155742,=,1,1,=,,IC50,nM,,8400.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,8.4
,,338927,[],CHEMBL649260,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,,,CHEMBL1131015,J Med Chem,1998,"{'bei': '34.85', 'le': '0.70', 'lle': '10.48', 'sei': '6.92'}",CHEMBL2442258,,CHEMBL2442258,7.22,0,http://www.openphacts.org/units/Nanomolar,155743,=,1,1,=,,IC50,nM,,60.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,0.06
,,342691,[],CHEMBL649260,Inhibitory activity measured against alpha-glucosidase of rice by colorimetric assay using the D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,,,CHEMBL1131015,J Med Chem,1998,"{'bei': '21.57', 'le': '0.43', 'lle': '7.47', 'sei': '5.15'}",CHEMBL3084806,,CHEMBL3084806,5.38,0,http://www.openphacts.org/units/Nanomolar,155744,=,1,1,=,,IC50,nM,,4200.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,4.2
,,437093,[],CHEMBL710107,Inhibition of Glycosidases (maltase) in rat intestinal brush border membranes by D-glucose oxidase-peroxidase method maltase,B,,,BAO_0000190,BAO_0000249,cell membrane format,CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,,,CHEMBL1128713,J Med Chem,1995,,CHEMBL77918,,CHEMBL77918,,0,http://www.openphacts.org/units/Nanomolar,137443,<,1,1,<,,IC50,nM,,50000.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,50.0
,,441033,[],CHEMBL710106,Inhibition of Glycosidases (maltase) in rat intestinal brush border membranes by D-glucose oxidase-peroxidase method,B,,,BAO_0000190,BAO_0000249,cell membrane format,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,,,CHEMBL1128713,J Med Chem,1995,"{'bei': '39.49', 'le': '0.80', 'lle': '9.41', 'sei': '6.93'}",CHEMBL307429,DUVOGLUSTAT,CHEMBL307429,6.44,0,http://www.openphacts.org/units/Nanomolar,137442,=,1,1,=,,IC50,nM,,360.0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase,9606,,,IC50,uM,UO_0000065,,0.36
