gene_symbol,gene_name,prob_exito_IA,score_genetic_association,score_literature,interaction_gen_lit
SORL1,sortilin related receptor 1,0.8855706373317602,0.7548265090581254,0.9717954040517236,0.733536932359093
NRIP1,nuclear receptor interacting protein 1,0.8619360596556784,0.0,0.1856206168948468,0.0
ZNF629,zinc finger protein 629,0.8571043438421986,0.0,0.5858888039184454,0.0
SBF1,SET binding factor 1,0.8286563311208727,0.0,0.0516741177969877,0.0
KIF1A,kinesin family member 1A,0.8279058998471274,0.0,0.3467610480152284,0.0
RHOV,ras homolog family member V,0.8266291593572554,0.0,0.8412657770135311,0.0
PURA,purine rich element binding protein A,0.7759551703408517,0.0,0.4238801892057277,0.0
PAPOLA,poly(A) polymerase alpha,0.7719673032390574,0.0,0.0972689276178593,0.0
ATL2,atlastin GTPase 2,0.7645583947069218,0.0,0.5319394479101685,0.0
HINFP,histone H4 transcription factor,0.7638574361683291,0.0,0.1173863709288239,0.0
VEZF1,vascular endothelial zinc finger 1,0.7526647099202811,0.0,0.0851103116656269,0.0
ABCG1,ATP binding cassette subfamily G member 1,0.7494372336740815,0.0,0.2158791918855039,0.0
HNF4G,hepatocyte nuclear factor 4 gamma,0.7483057831621177,0.0,0.0911896196417431,0.0
ARHGEF17,Rho guanine nucleotide exchange factor 17,0.7387710796001696,0.0,0.0683922147313073,0.0
FCF1,FCF1 rRNA-processing protein,0.7343643826165163,0.0,0.2323646604204418,0.0
GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1,0.7341219225126839,0.0,0.0410353288387844,0.0
IRF2,interferon regulatory factor 2,0.7290549389378427,0.0,0.4101488527023889,0.0
PCBP2,poly(rC) binding protein 2,0.721259240717744,0.0,0.2559219788278921,0.0
PTPRD,protein tyrosine phosphatase receptor type D,0.7212518300737405,0.0,0.1836541401208064,0.0
CDKN1C,cyclin dependent kinase inhibitor 1C,0.7171203487965041,0.0,0.0711160824439394,0.0
TFDP1,transcription factor Dp-1,0.7154536888730464,0.0,0.3273964574153095,0.0
GM2A,ganglioside GM2 activator,0.7142364698795669,0.0,0.2118958648145991,0.0
PTGDS,prostaglandin D2 synthase,0.6988852554024394,0.0,0.6404297665883953,0.0
ANXA2,annexin A2,0.6988852554024394,0.0,0.6507381437873121,0.0
MCM10,minichromosome maintenance 10 replication initiation factor,0.6853760556951455,0.0,0.0455948098208715,0.0
PNO1,partner of NOB1 homolog,0.6822271767778278,0.0,0.5243875237886874,0.0
MPRIP,myosin phosphatase Rho interacting protein,0.6762287946434593,0.1145735776372461,0.1900584839553916,0.021775680467080352
CAMLG,calcium modulating ligand,0.6759133461011648,0.0,0.4407498282684252,0.0
ITPKB,inositol-trisphosphate 3-kinase B,0.6697136411428262,0.0,0.4087659725843697,0.0
FOSL1,"FOS like 1, AP-1 transcription factor subunit",0.6674357422197287,0.0,0.4195453729174658,0.0
SLC39A10,solute carrier family 39 member 10,0.6626102090442455,0.0,0.0805508306835398,0.0
RAD51C,RAD51 paralog C,0.6608746385818555,0.0,0.0910207499757399,0.0
COPZ1,coat protein complex I subunit zeta 1,0.6596186891850679,0.0,0.0273568858925229,0.0
PPP3CC,protein phosphatase 3 catalytic subunit gamma,0.6586344344517068,0.0,0.1367884961198776,0.0
IRF4,interferon regulatory factor 4,0.6577720511181079,0.0,0.177308824172148,0.0
CGA,"glycoprotein hormones, alpha polypeptide",0.6554127012353711,0.0,0.7676794497958582,0.0
PTCD1,pentatricopeptide repeat domain 1,0.6549528052168669,0.0,0.1112124959397459,0.0
CDK5R2,cyclin dependent kinase 5 regulatory subunit 2,0.6524800963531548,0.0,0.4155769804831004,0.0
