target_id,uniprot_id,gene_symbol,gene_name,score_overall,max_clinical_phase,n_drugs,score_known_drug,score_rna_expression,score_genetic_literature,score_literature,score_genetic_association,score_animal_model,score_affected_pathway,has_clinical_trials,is_high_confidence,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas,target_success,max_pchembl,drug_count
ENSG00000080815,P49768,PSEN1,presenilin 1,0.8671138502017128,3,6,0.6432229884302734,0.0498809631145068,0.8855819352769478,0.9711447481384504,0.9543800116162438,0.5711362082603426,0.0,1,1,-0.7674572531715389,1.0,0.0498809631145068,1,9.94,194
ENSG00000142192,P05067,APP,amyloid beta precursor protein,0.8540101506507178,4,13,0.9129282017778076,0.0,0.607930797611621,0.9945959855988492,0.9207313771930412,0.3906563305452277,0.607930797611621,1,1,-0.7845559845559845,0.0,0.0,1,10.15,2398
ENSG00000143801,P49810,PSEN2,presenilin 2,0.8172946923914078,3,6,0.6432229884302734,0.0,0.7717343736347523,0.6879092532128198,0.9091276783648212,0.0,0.0,1,1,-0.2050744622173194,0.0,0.0,1,9.0,8
ENSG00000130203,P02649,APOE,apolipoprotein E,0.7815022228562081,0,0,0.0,0.017251532679053,0.607930797611621,0.9984835699649396,0.9037750477363088,0.2687054125443365,0.2670020417823128,0,1,0.531053502482074,0.0,0.017251532679053,0,0.0,0
ENSG00000176884,Q05586,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,0.6836139345631277,4,27,0.9603610110018348,0.0,0.0,0.8429654147425989,0.0,0.0,0.5815977506239859,1,1,-0.60419194704909,0.0,0.0,1,9.0,109
ENSG00000137642,Q92673,SORL1,sortilin related receptor 1,0.6833832980221779,0,0,0.0,0.0476803620843015,0.3039653988058105,0.9717954040517236,0.7548265090581254,0.6326456669186236,0.0,0,1,-0.6372862658576944,0.0,0.0476803620843015,0,0.0,0
ENSG00000164885,Q00535,CDK5,cyclin dependent kinase 5,0.679590497043796,3,7,0.0,0.0897798679319798,0.0,0.8980082226191473,0.0,0.0,0.877437422074483,1,1,-0.5891891891891892,1.0,0.0897798679319798,1,10.0,845
ENSG00000137845,O14672,ADAM10,ADAM metallopeptidase domain 10,0.6731749841223225,0,0,0.0,0.020403122422004,0.607930797611621,0.91811349867051,0.772054088915575,0.0,0.0,0,1,-0.9054605626034198,0.0,0.020403122422004,0,8.28,267
ENSG00000116032,O60391,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,0.6507431604119212,4,23,0.9603610110018348,0.0,0.0,0.1789089676471199,0.4243452803702214,0.0,0.0,1,1,0.8228350799779371,0.0,0.0,1,9.3,550
ENSG00000087085,P22303,ACHE,acetylcholinesterase (Yt blood group),0.6276898384239006,4,20,0.9941955691436232,0.0,0.0,0.7661310525463989,0.0,0.0,0.0,1,1,-0.6356315499172642,0.0,0.0,1,10.98,7941
