target_id,uniprot_id,gene_symbol,gene_name,score_overall,max_clinical_phase,n_drugs,score_known_drug,score_rna_expression,score_genetic_literature,score_literature,score_genetic_association,score_animal_model,score_affected_pathway
ENSG00000080815,P49768,PSEN1,presenilin 1,0.8671138502017128,3,6,0.6432229884302734,0.04988096311450684,0.8855819352769478,0.9711447481384503,0.9543800116162438,0.5711362082603426,
ENSG00000142192,P05067,APP,amyloid beta precursor protein,0.8540101506507178,4,13,0.9129282017778076,,0.607930797611621,0.9945959855988492,0.9207313771930412,0.39065633054522775,0.607930797611621
ENSG00000143801,P49810,PSEN2,presenilin 2,0.8172946923914078,3,6,0.6432229884302734,,0.7717343736347523,0.6879092532128198,0.9091276783648212,,
ENSG00000130203,P02649,APOE,apolipoprotein E,0.7815022228562081,0,0,,0.017251532679053088,0.607930797611621,0.9984835699649396,0.9037750477363087,0.2687054125443365,0.2670020417823128
ENSG00000176884,Q05586,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,0.6836139345631277,4,27,0.9603610110018347,,,0.8429654147425989,,,0.5815977506239859
ENSG00000137642,Q92673,SORL1,sortilin related receptor 1,0.6833832980221779,0,0,,0.04768036208430157,0.3039653988058105,0.9717954040517236,0.7548265090581254,0.6326456669186236,
ENSG00000164885,Q00535,CDK5,cyclin dependent kinase 5,0.679590497043796,3,7,,0.08977986793197987,,0.8980082226191473,,,0.877437422074483
ENSG00000137845,O14672,ADAM10,ADAM metallopeptidase domain 10,0.6731749841223225,0,0,,0.02040312242200407,0.607930797611621,0.9181134986705101,0.772054088915575,,
ENSG00000116032,O60391,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,0.6507431604119212,4,23,0.9603610110018347,,,0.17890896764711994,0.4243452803702214,,
ENSG00000087085,P22303,ACHE,acetylcholinesterase (Yt blood group),0.6276898384239006,4,20,0.9941955691436233,,,0.7661310525463989,,,
ENSG00000159640,P12821,ACE,angiotensin I converting enzyme,0.6206966406201572,4,25,0.12158615952232422,,0.607930797611621,0.9406526131348519,0.8405136166229384,,
ENSG00000114200,P06276,BCHE,butyrylcholinesterase,0.620256792742029,4,2,0.9743378222804558,,,0.918750075160455,,,
ENSG00000138613,Q8WW43,APH1B,aph-1B gamma-secretase subunit,0.6183318659098008,3,6,0.6432229884302734,,,0.39837808357294135,0.8474503741559389,,
ENSG00000273079,Q13224,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,0.6109786599901247,4,27,0.9603610110018347,0.03279389384323798,,0.8784747596128644,,,
ENSG00000176749,Q15078,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,0.6074661348442697,0,0,,,,0.8848189067542576,,,0.9549947196932794
ENSG00000010704,Q30201,HFE,homeostatic iron regulator,0.6048602773233976,0,0,,,0.607930797611621,0.7184806570656189,0.8270002910534164,,
ENSG00000183454,Q12879,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,0.5988088507002448,4,26,0.9604444034294907,0.01937961546337943,,0.4824005687522008,,,
ENSG00000101224,P30305,CDC25B,cell division cycle 25B,0.5985275901516723,0,0,,,,0.0841815285026092,,,0.7861293896877616
ENSG00000105464,O15399,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,0.597221951945006,4,23,0.9603610110018347,,,0.44047502064902494,,,
ENSG00000203710,P17927,CR1,complement C3b/C4b receptor 1 (Knops blood group),0.5958776464330214,0,0,,,,0.8837580617426841,0.9359855784572243,,
ENSG00000146904,P21709,EPHA1,EPH receptor A1,0.5952292490307641,4,1,,,,0.36515943054131667,0.8326927638845806,,0.5531979966234456
ENSG00000198785,Q8TCU5,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,0.592248725176737,4,23,0.9603610110018347,,,0.27686341262366065,,,
ENSG00000161509,Q14957,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,0.5919963523636346,4,23,0.9603610110018347,0.03424116316113702,,0.25334243560331704,,,
ENSG00000030582,P28799,GRN,granulin precursor,0.5872056271568885,0,0,,,,0.9337546239960293,0.7534653314264361,0.2661521031943677,
ENSG00000113161,P04035,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.5853767013041479,4,15,0.565670129798399,0.009364719397570819,,0.7131850911796818,,,0.8055170751528565
ENSG00000064687,Q8IZY2,ABCA7,ATP binding cassette subfamily A member 7,0.5802849303167739,0,0,,,0.607930797611621,0.9563556232283535,0.6677471958611345,,
ENSG00000105383,P20138,CD33,CD33 molecule,0.5796367096477516,4,5,,,,0.9217841891769449,0.7907495716891095,,0.5688988359014587
ENSG00000118689,O43524,FOXO3,forkhead box O3,0.5736305023122766,0,0,,,,0.7383476397812045,,,0.9066612367713315
ENSG00000095970,Q9NZC2,TREM2,triggering receptor expressed on myeloid cells 2,0.5724815273910075,0,0,,,,0.9894320485676672,0.8922170398317504,,
ENSG00000004779,O14561,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.5706018730212599,4,3,,0.07015121357208141,,0.24396959273639135,0.4746828296740998,,0.8136276094564562
ENSG00000147883,P42772,CDKN2B,cyclin dependent kinase inhibitor 2B,0.5571467940484545,0,0,,,,0.08492715425528859,0.4011715824826065,,0.8142840046102876
ENSG00000136717,O00499,BIN1,bridging integrator 1,0.5536359878221929,0,0,,,,0.9725955643286558,0.8620593824532746,,
ENSG00000082701,P49841,GSK3B,glycogen synthase kinase 3 beta,0.5524719158949241,4,5,0.1587374860430344,0.01687786532291258,,0.9504800269310761,,,0.8434018776286261
ENSG00000124762,P38936,CDKN1A,cyclin dependent kinase inhibitor 1A,0.5502875465751055,0,0,,,,0.7944838161846892,,,0.865457038266544
ENSG00000197746,P07602,PSAP,prosaposin,0.5478260449002683,0,0,,,,0.5950792298969435,,0.2664560685931735,0.865457038266544
ENSG00000197943,P16885,PLCG2,phospholipase C gamma 2,0.5447611002071141,0,0,,,,0.8837740110157908,0.8519019438898575,,
ENSG00000120885,P10909,CLU,clusterin,0.5426097411545774,3,2,,0.02558786498941004,,0.9782015954727921,0.6744584985303708,,
ENSG00000166851,P53350,PLK1,polo like kinase 1,0.5419717155468247,3,7,,,,0.5209056042911244,,,0.865457038266544
ENSG00000135446,P11802,CDK4,cyclin dependent kinase 4,0.5419417943238982,4,17,,,,0.5199212414970704,,,0.865457038266544
ENSG00000166311,P17405,SMPD1,sphingomyelin phosphodiesterase 1,0.5416820358254651,0,0,,,,0.8681494355852634,,,0.8476183455564804
ENSG00000071051,O43639,NCK2,NCK adaptor protein 2,0.5411871507127486,0,0,,,,0.20537649217420803,0.788071023504808,,0.3903072934014509
ENSG00000110077,Q9H2W1,MS4A6A,membrane spanning 4-domains A6A,0.5346230457874066,0,0,,,,0.23631699185887178,0.8675984651412025,,
ENSG00000167601,P30530,AXL,AXL receptor tyrosine kinase,0.5344077294780566,4,5,,,,0.272061949767131,,,0.865457038266544
ENSG00000168653,O43920,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.5339588476632112,4,3,,0.04976344044409118,,0.24803800744797783,,,0.8648140046499787
ENSG00000178999,Q96GD4,AURKB,aurora kinase B,0.5287759633031683,3,18,,,,0.08678539536278754,,,0.865457038266544
ENSG00000119421,P51970,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.5284709157316196,4,3,,0.058708508939063986,,0.04059289031385596,,,0.865457038266544
